1, 'John Smith', 'M', 'Pilot', 8, 8000
2, 'Emily Johnson', 'F', 'Co-Pilot', 8, 6000
3, 'Michael Williams', 'M', 'Flight Attendant', 6, 4000
4, 'Jessica Brown', 'F', 'Flight Attendant', 6, 4000
5, 'Daniel Jones', 'M', 'Flight Attendant', 6, 4000
6, 'Sarah Davis', 'F', 'Flight Attendant', 6, 4000
7, 'Matthew Taylor', 'M', 'Engineer', 8, 7000
8, 'Olivia Martinez', 'F', 'Flight Attendant', 6, 4000
9, 'Ethan Anderson', 'M', 'Flight Attendant', 6, 4000
10, 'Emma Thomas', 'F', 'Pilot', 8, 8000
11, 'James Jackson', 'M', 'Co-Pilot', 8, 6000
12, 'Sophia White', 'F', 'Flight Attendant', 6, 4000
13, 'Alexander Harris', 'M', 'Flight Attendant', 6, 4000
14, 'Ava Martin', 'F', 'Flight Attendant', 6, 4000
15, 'Logan Garcia', 'M', 'Flight Attendant', 6, 4000
16, 'Mia Martinez', 'F', 'Pilot', 8, 8000
17, 'Lucas Rodriguez', 'M', 'Co-Pilot', 8, 6000
18, 'Harper Lopez', 'F', 'Flight Attendant', 6, 4000
19, 'Benjamin Lee', 'M', 'Flight Attendant', 6, 4000
20, 'Amelia Perez', 'F', 'Flight Attendant', 6, 4000
21, 'Henry Lewis', 'M', 'Flight Attendant', 6, 4000
22, 'Evelyn Gonzalez', 'F', 'Pilot', 8, 8000
23, 'Jackson Wilson', 'M', 'Co-Pilot', 8, 6000
24, 'Charlotte Anderson', 'F', 'Flight Attendant', 6, 4000
25, 'Sebastian Walker', 'M', 'Flight Attendant', 6, 4000
26, 'Avery Taylor', 'F', 'Flight Attendant', 6, 4000
27, 'Jacob Hill', 'M', 'Flight Attendant', 6, 4000
28, 'Sofia Moore', 'F', 'Pilot', 8, 8000
29, 'William Clark', 'M', 'Co-Pilot', 8, 6000
30, 'Grace Rodriguez', 'F', 'Flight Attendant', 6, 4000
31, 'Michael Scott', 'M', 'Flight Attendant', 6, 4000
32, 'Chloe King', 'F', 'Flight Attendant', 6, 4000
33, 'Daniel Green', 'M', 'Flight Attendant', 6, 4000
34, 'Lily Baker', 'F', 'Pilot', 8, 8000
35, 'Ryan Adams', 'M', 'Co-Pilot', 8, 6000
36, 'Zoe Garcia', 'F', 'Flight Attendant', 6, 4000
37, 'David Wright', 'M', 'Flight Attendant', 6, 4000
38, 'Madison Parker', 'F', 'Flight Attendant', 6, 4000
39, 'Elijah Young', 'M', 'Flight Attendant', 6, 4000
40, 'Aria Turner', 'F', 'Pilot', 8, 8000
41, 'Carter Hall', 'M', 'Co-Pilot', 8, 6000
42, 'Scarlett Cox', 'F', 'Flight Attendant', 6, 4000
